Title,Price,Details,URL
House with Land for Sale Batticaola,"Rs 9,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/land-and-house-coconut-trees-for-sale-for-sale-batticaloa
House for Sale in Panadura,"Rs 57,500,000","Bedrooms: 4, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-in-panadura-for-sale-kalutara-2342
House Sale in Galle,"Rs 38,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/house-sale-in-galle-for-sale-galle-6
House Sale Kaduwela,"Rs 15,900,000","Bedrooms: 2, Bathrooms: 2",https://ikman.lk/en/ad/house-sale-kaduwela-for-sale-colombo
Homagama Luxury House for Sale,Rs 460,"Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/homagama-luxury-house-for-sale-for-sale-colombo
Prime Clover – Luxury Living in Thalawathugoda,"Rs 84,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/prime-clover-luxury-living-in-thalawathugoda-for-sale-colombo-12
FEATURED,"Rs 310,000,000",+17,https://ikman.lk/en/ad/architecture-designed-furnished-luxury-house-for-sale-in-pelawatta-for-sale-colombo
Investment Property,"Rs 16,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/investment-property-for-sale-gampaha-1
"Home for Sale in Yakkala,Gampaha M226","Rs 29,700,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/home-for-sale-in-yakkalagampaha-m226-for-sale-kandy
Brand New House for Sale in Athurugiriya,"Rs 39,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/brand-new-house-for-sale-in-athurugiriya-for-sale-colombo-2282
03-Storied Luxury House for Sale Piliyandala,"Rs 42,000,000","Bedrooms: 6, Bathrooms: 5",https://ikman.lk/en/ad/03-storied-luxury-house-for-sale-piliyandala-for-sale-colombo-1
Well Build Two Storied House In Talawatugoda,"Rs 56,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/well-build-two-storied-house-in-talawatugoda-for-sale-colombo
Luxury House Sale Athurugiriya,"Rs 36,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/luxury-house-sale-athurugiriya-for-sale-colombo
House for Sale kurunegala,"Rs 7,800,000","Bedrooms: 2, Bathrooms: 1",https://ikman.lk/en/ad/house-for-sale-kurunegala-for-sale-kurunegala-484
"House for Sale in Devika Garden, Colombo 05","Rs 160,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/house-for-sale-in-devika-garden-colombo-05-for-sale-colombo-1
3 Bedrooms House for Sale in Piliyandala Town,"Rs 19,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/3-bedrooms-house-for-sale-in-piliyandala-town-for-sale-colombo-3
"Spacious 4-Bedroom House for Sale – Thalawathugoda, Kalalgoda","Rs 65,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/spacious-4-bedroom-house-for-sale-thalawathugoda-kalalgoda-for-sale-colombo-8
Malabe House for Sale,"Rs 37,500,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/malabe-house-for-sale-for-sale-colombo-251
Brand New House For Sale in Kadawatha | Weboda,"Rs 23,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/brand-new-house-for-sale-in-kadawatha-weboda-for-sale-gampaha
පොල්ගහවෙල බඹරගල පන්සල අසල – නිවස සහිත පර්චස් 23 ඉඩම,"Rs 9,800,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/polghvel-bmbrgl-pnsl-asl-nivs-shit-prcs-23-iddm-for-sale-kurunegala
ගාල්ල වලහන්දූව නිවසක් ඉඩම සමඟ විකිනීමට,"Rs 3,800,000","Bedrooms: 2, Bathrooms: 1",https://ikman.lk/en/ad/gaall-vlhnduuv-nivsk-iddm-smnng-vikiniimtt-for-sale-galle
"Modern Two-Storey Luxury Home for Sale – Polgasowita, Piliyandala","Rs 34,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/modern-two-storey-luxury-home-for-sale-polgasowita-piliyandala-for-sale-colombo-12
Modern 5-Bed Home with Garden – Arangala,"Rs 62,500,000","Bedrooms: 5, Bathrooms: 4",https://ikman.lk/en/ad/modern-5-bed-home-with-garden-arangala-for-sale-colombo
Brand New Luxury House for Sale in Minuwangoda,"Rs 37,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/brand-new-luxury-house-for-sale-in-minuwangoda-for-sale-gampaha-1
House for Sale Ragama,"Rs 25,000,000","Bedrooms: 7, Bathrooms: 5",https://ikman.lk/en/ad/house-for-sale-ragama-for-sale-gampaha-670
Canterbury Golf Brand New 3BR House For Sale in Piliyandala - EH373,"Rs 32,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/canterbury-golf-brand-new-3br-house-for-sale-in-piliyandala-eh373-for-sale-colombo-9
House For Sale in Dompe,"Rs 16,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-in-dompe-for-sale-gampaha-2
House for Sale in Mount Lavinia (C7-9667),"Rs 60,000,000","Bedrooms: 7, Bathrooms: 4",https://ikman.lk/en/ad/house-for-sale-in-mount-lavinia-c7-9667-for-sale-colombo
Single Storey Brand New House in Piliyandala. Gated Community,"Rs 24,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/single-storey-brand-new-house-in-piliyandala-gated-community-for-sale-colombo
Valuable House for Sale Athurugiriya,"Rs 8,933,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/valuable-house-for-sale-athurugiriya-for-sale-colombo-61
Full Complete New House For Sale in Negombo,"Rs 22,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/full-complete-new-house-for-sale-in-negombo-for-sale-gampaha-7
House for Sale in Kotte – Madiwela,"Rs 35,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-in-kotte-madiwela-for-sale-colombo-5
House for Sale in Negambo (C7-9663),"Rs 120,000,000","Bedrooms: 8, Bathrooms: 8",https://ikman.lk/en/ad/house-for-sale-in-negambo-c7-9663-for-sale-gampaha
House for Sale in Katubedda,"Rs 38,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/house-for-sale-in-katubedda-for-sale-colombo-333
"Prime House – Gated Community,Athurugiriya","Rs 24,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/prime-house-gated-communityathurugiriya-for-sale-colombo
"Luxury 3-Bed Residence – Milaniyam City ,Athurugiriya","Rs 35,000,000","Bedrooms: 3, Bathrooms: 3",https://ikman.lk/en/ad/luxury-3-bed-residence-milaniyam-city-athurugiriya-for-sale-colombo
Modern Single Storey Home – Athurugiriya,"Rs 23,000,000","Bedrooms: 3, Bathrooms: 3",https://ikman.lk/en/ad/modern-single-storey-home-athurugiriya-for-sale-colombo-1
Modern 3-Storey House Near Millennium City,"Rs 43,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/modern-3-storey-house-near-millennium-city-for-sale-colombo
Modern Single Storey House for Sale – Athurugiriya,"Rs 27,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/modern-single-storey-house-for-sale-athurugiriya-for-sale-colombo-21
Hot Property Alert – Stylish House in Athurugiriya,"Rs 32,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/hot-property-alert-stylish-house-in-athurugiriya-for-sale-colombo
dehiwala house for sale in with furnitured,"Rs 180,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/dehiwala-house-for-sale-in-with-furnitured-for-sale-colombo
5 Bed House for sale in Wellawatha (C7-9658),"Rs 320,000,000","Bedrooms: 5, Bathrooms: 5",https://ikman.lk/en/ad/5-bed-house-for-sale-in-wellawatha-c7-9658-for-sale-colombo
Brand New Two-Storey House in Malabe,"Rs 34,500,000","Bedrooms: 3, Bathrooms: 3",https://ikman.lk/en/ad/brand-new-two-storey-house-in-malabe-for-sale-colombo-24
Modern 4-Bedroom House for Sale in Malabe – Prime Residential Location,"Rs 49,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/modern-4-bedroom-house-for-sale-in-malabe-prime-residential-location-for-sale-colombo-54
නයිවලින් පර්චස් 42ක ඉඩම සමග නිවාස දෙකක්,"Rs 15,800,000","Bedrooms: 6, Bathrooms: 2",https://ikman.lk/en/ad/nyivlin-prcs-42k-iddm-smg-nivaas-dekk-for-sale-gampaha
2 Storied House Fir Sale in Bokundara,"Rs 29,000,000","Bedrooms: 4, Bathrooms: 2",https://ikman.lk/en/ad/2-storied-house-fir-sale-in-bokundara-for-sale-colombo
